name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Megasphaera elsdenii	907	species	4953520	3	0	0.0
Nitrosomonas europaea	915	species	2948575	2	2	0.0
Acidithiobacillus ferrooxidans	920	species	9762390	8	0	0.0
Thiomonas intermedia	926	species	3343428	2	2	0.0
Hydrogenobacter thermophilus	940	species	1794458	3	2	0.0
Anaplasmataceae	942	family	0	1	0	0.0
Ehrlichia canis	944	species	5251017	42	1	0.0
Ehrlichia chaffeensis	945	species	0	3	1	0.0
Wolbachia	953	genus	0	35	25	0.0
Wolbachia pipientis	955	species	15256836	1	0	0.0
Bdellovibrio	958	genus	0	1	0	0.0
Bdellovibrio bacteriovorus	959	species	48720389	34	16	0.0
Bacteriovorax stolpii	960	species	7691180	17	13	0.0
Herbaspirillum	963	genus	0	1	0	0.0
Herbaspirillum seropedicae	964	species	16321366	5	1	0.0
Bacteroidota	976	phylum	0	26	0	0.0
Cytophaga	978	genus	0	5	0	0.0
Cellulophaga lytica	979	species	15441073	69	17	0.0
Flavobacterium johnsoniae	986	species	5324536	25	10	0.0
Flavobacterium columnare	996	species	93703536	50	26	0.0
Bernardetia litoralis	999	species	0	1	0	0.0
Chitinophaga sancti	1004	species	25234441	36	25	0.0
Marivirga tractuosa	1006	species	9322181	43	24	0.0
Saprospira grandis	1008	species	4303711	11	4	0.0
Sphingobacterium mizutaii	1010	species	4653048	16	8	0.0
Weeksella virosa	1014	species	2287133	7	5	0.0
Capnocytophaga	1016	genus	0	1	0	0.0
Capnocytophaga gingivalis	1017	species	2838633	8	6	0.0
Capnocytophaga ochracea	1018	species	13588098	27	3	0.0
Capnocytophaga sputigena	1019	species	11962418	25	6	0.0
Erythrobacter sp.	1042	species	6388009	2	1	0.0
Halorhodospira halochloris	1052	species	2834560	2	2	0.0
Rhodobacter capsulatus	1061	species	7528361	3	1	0.0
Cereibacter sphaeroides	1063	species	18601127	3	0	0.0
Fuscovulum blasticum	1075	species	3706095	2	2	0.0
Rhodopseudomonas palustris	1076	species	69407922	16	5	0.0
Blastochloris viridis	1079	species	11174693	8	1	0.0
Rhodospirillum rubrum	1085	species	4406405	1	0	0.0
